,cik,exhibit99url,car_mkt_-1_+1,car_mkt_0_+1,car_mkt_0_+2,car_final,TariffMentions,TariffSent_mean,TariffSent_shareNeg,TariffSent_fwd_mean,surprise_pct,sue_z
count,2135.0,0.0,2120.0,2120.0,2120.0,2120.0,1636.0,70.0,70.0,70.0,1849.0,1849.0
missing,0.0,2135.0,15.0,15.0,15.0,15.0,499.0,2065.0,2065.0,2065.0,286.0,286.0
pct_missing,0.0,100.0,0.7,0.7,0.7,0.7,23.37,96.72,96.72,96.72,13.4,13.4
mean,847142.3962529274,,0.0019312902358490567,0.0012938940094339624,0.002245303820754717,0.0019312902358490567,0.042787286063569685,-0.35178059002857137,0.5714285714285714,-0.35178059002857137,0.11755650600054077,0.005452410183342359
median,906345.0,,0.0,0.0,0.0,0.0,0.0,-0.454545455,1.0,-0.454545455,-0.080779944,-0.013674138
std,581768.9778804102,,0.05701697948404911,0.055277616328752416,0.05640149636392265,0.05701697948404911,0.20243908733963725,0.6508040766037477,0.49844478627922684,0.6508040766037477,23.878668754990585,1.2906123991213816
min,1800.0,,-0.4432042,-0.4066951,-0.4066951,-0.4432042,0.0,-1.0,0.0,-1.0,-439.4429066,-21.91831063
25%,91576.0,,-0.01009875,-0.010100775,-0.011381225,-0.01009875,0.0,-1.0,0.0,-1.0,-0.219277108,-0.047283723
50%,906345.0,,0.0,0.0,0.0,0.0,0.0,-0.454545455,1.0,-0.454545455,-0.080779944,-0.013674138
75%,1274494.0,,0.017140924999999998,0.01584505,0.0184565,0.017140924999999998,0.0,0.0,1.0,0.0,0.001996008,0.012837908
max,2012383.0,,0.3311708,0.3161049,0.3161049,0.3311708,1.0,1.0,1.0,1.0,530.4679074,22.07539236
IQR,1182918.0,,0.027239674999999998,0.025945825,0.029837725000000002,0.027239674999999998,0.0,1.0,1.0,1.0,0.221273116,0.060121631
skewness,-0.10796729516281191,,-0.12173909532352496,-0.06319894301390364,-0.018945586923261794,-0.12173909532352496,4.52256867818497,0.7730650386501832,-0.2950353330549832,0.7730650386501832,2.5022640905507894,2.14579935132218
kurtosis,-1.0867286996719636,,6.573346721327548,5.997670410969155,5.635010720924377,6.573346721327548,18.476213027872966,-0.3537614637609505,-1.9700943810359963,-0.3537614637609505,319.03408729596475,204.1379729355195
